ACLON,ACLAT,HER,STRATUM,CRUISE,Country
-8.820319,55.01578,0,5,45CE2018WESPAS_2,IRL
-8.820319,55.01578,0,5,45CE2018WESPAS_2,IRL
-9.257528,55.0155,0,5,45CE2018WESPAS_2,IRL
-9.257528,55.0155,0,5,45CE2018WESPAS_2,IRL
-9.112419,55.01672,0,5,45CE2018WESPAS_2,IRL
-9.112419,55.01672,0,5,45CE2018WESPAS_2,IRL
-10.08507,55.01559,0,5,45CE2018WESPAS_2,IRL
-10.08507,55.01559,0,5,45CE2018WESPAS_2,IRL
-10.02695,55.01558,0,5,45CE2018WESPAS_2,IRL
-10.02695,55.01558,0,5,45CE2018WESPAS_2,IRL
-9.983691,55.0161,0,5,45CE2018WESPAS_2,IRL
-9.983691,55.0161,0,5,45CE2018WESPAS_2,IRL
-9.548028,55.01778,0,6,45CE2018WESPAS_2,IRL
-9.402816,55.01622,0,6,45CE2018WESPAS_2,IRL
-9.838549,55.01591,0,6,45CE2018WESPAS_2,IRL
-9.693244,55.01795,0,6,45CE2018WESPAS_2,IRL
-8.967328,55.01643,0,6,45CE2018WESPAS_2,IRL
-8.820319,55.01578,0,6,45CE2018WESPAS_2,IRL
-9.257528,55.0155,0,6,45CE2018WESPAS_2,IRL
-9.112419,55.01672,0,6,45CE2018WESPAS_2,IRL
-10.08507,55.01559,0,6,45CE2018WESPAS_2,IRL
-10.02695,55.01558,0,6,45CE2018WESPAS_2,IRL
-9.983691,55.0161,0,6,45CE2018WESPAS_2,IRL
6.849866,57.51738,224.74736,152,26D4201806,DK
6.849866,57.51738,224.74736,152,26D4201806,DK
6.836585,57.58364,0.73294,152,26D4201806,DK
6.836585,57.58364,0.73294,152,26D4201806,DK
6.843169,57.60491,19.78748,152,26D4201806,DK
6.843169,57.60491,19.78748,152,26D4201806,DK
6.841713,57.68864,93.91809,152,26D4201806,DK
6.841713,57.68864,93.91809,152,26D4201806,DK
6.84019,57.7723,143.63961,152,26D4201806,DK
6.84019,57.7723,143.63961,152,26D4201806,DK
6.841827,57.85592,119.97161,152,26D4201806,DK
6.841827,57.85592,119.97161,152,26D4201806,DK
-9.549572,54.76514,0,6,45CE2018WESPAS_2,IRL
-9.691908,54.76553,0,6,45CE2018WESPAS_2,IRL
-9.83628,54.76384,0,6,45CE2018WESPAS_2,IRL
-9.980561,54.764,0,6,45CE2018WESPAS_2,IRL
-10.11983,54.76454,0,6,45CE2018WESPAS_2,IRL
-10.26424,54.76472,0,6,45CE2018WESPAS_2,IRL
-10.34864,54.7649,0,6,45CE2018WESPAS_2,IRL
-9.408737,54.76465,0,6,45CE2018WESPAS_2,IRL
-9.206463,54.76554,0,6,45CE2018WESPAS_2,IRL
-9.264152,54.76533,0,6,45CE2018WESPAS_2,IRL
6.355258,57.70288,1851.64039,152,26D4201806,DK
6.355258,57.70288,1851.64039,152,26D4201806,DK
6.354813,57.61918,916.72888,152,26D4201806,DK
6.354813,57.61918,916.72888,152,26D4201806,DK
6.353152,57.53551,40.46775,152,26D4201806,DK
6.353152,57.53551,40.46775,152,26D4201806,DK
6.355129,58.0672,54.19055,152,26D4201806,DK
6.355129,58.0672,54.19055,152,26D4201806,DK
6.354311,58.03769,1014.64465,152,26D4201806,DK
6.354311,58.03769,1014.64465,152,26D4201806,DK
6.352422,57.95399,23.42768,152,26D4201806,DK
6.352422,57.95399,23.42768,152,26D4201806,DK
6.356526,57.8703,114.50427,152,26D4201806,DK
6.356526,57.8703,114.50427,152,26D4201806,DK
6.356744,57.78659,91.35995,152,26D4201806,DK
6.356744,57.78659,91.35995,152,26D4201806,DK
-10.51455,54.51513,0,6,45CE2018WESPAS_2,IRL
-10.42837,54.51622,0,6,45CE2018WESPAS_2,IRL
-9.566027,54.51466,0,6,45CE2018WESPAS_2,IRL
-9.422367,54.51464,0,6,45CE2018WESPAS_2,IRL
-9.345673,54.51089,0,6,45CE2018WESPAS_2,IRL
-9.259462,54.5123,0,6,45CE2018WESPAS_2,IRL
