"strata","length","age","maturity","stock","number","biomass_g","meanW_g"
121,28,5,"MAT","her-47d3",36749505.3024,7320888293.136,199.210526315789
91,28.5,5,"MAT","her-47d3",23657998.1402,5152087066.6828,217.77358490566
111,28.5,5,"MAT","her-47d3",328485769.8045,74006675410.5,225.296442687747
121,28.5,5,"MAT","her-47d3",47215521.6726,10275219468.948,217.623762376238
91,29,5,"MAT","her-47d3",18917345.0682,4395863067.9408,232.372093023256
111,29,5,"MAT","her-47d3",237611626.9851,56939179485.4686,239.631284916201
121,29,5,"MAT","her-47d3",46924926.3747,11131161323.0652,237.212121212121
91,29.5,5,"MAT","her-47d3",7006861.1238,1690302204.0414,241.235294117647
111,29.5,5,"MAT","her-47d3",221573564.992,55269256660.384,249.439759036145
121,29.5,5,"MAT","her-47d3",29844787.599,7550279068.7955,252.984848484848
41,30,5,"MAT","her-47d3",495675.4212,138623892.7956,279.666666666667
42,30,5,"MAT","her-47d3",303863.7014,85993427.4962,283
91,30,5,"MAT","her-47d3",1945221.6828,476255108.6722,244.833333333333
111,30,5,"MAT","her-47d3",163519936.0542,43190885589.192,264.132231404959
121,30,5,"MAT","her-47d3",30234029.7204,7886500843.4304,260.848484848485
151,30,5,"MAT","her-47d3",112588.5812,34339517.266,305
152,30,5,"MAT","her-47d3",228398.3601,69661499.8305,305
41,30.5,5,"MAT","her-47d3",152270.1869,40503869.7154,266
91,30.5,5,"MAT","her-47d3",1672054.4316,437660247.4713,261.75
111,30.5,5,"MAT","her-47d3",113605025.5913,31102247792.7822,273.775280898876
121,30.5,5,"MAT","her-47d3",14550342.642,3949756648.092,271.454545454545
111,31,5,"MAT","her-47d3",36041504.6404,10078749333.369,279.642857142857
121,31,5,"MAT","her-47d3",5849560.8038,1613643130.3054,275.857142857143
111,31.5,5,"MAT","her-47d3",27452118.798,7841697734.6487,285.65
121,31.5,5,"MAT","her-47d3",3068739.4234,873275561.6304,284.571428571429
111,32,5,"MAT","her-47d3",5743622.5152,1651291473.12,287.5
121,32,5,"MAT","her-47d3",449473.4557,118211518.8491,263
111,32.5,5,"MAT","her-47d3",1523683.0457,510433820.3095,335
111,35,5,"MAT","her-47d3",1872431.9844,681565242.3216,364
91,22.5,6,"MAT","her-47d3",1160931.5182,121897809.411,105
111,25,6,"MAT","her-47d3",3877342.3285,569969322.2895,147
91,25.5,6,"MAT","her-47d3",1236831.9402,180577463.2692,146
111,25.5,6,"MAT","her-47d3",7965973.3032,1290487675.1184,162
121,25.5,6,"MAT","her-47d3",6679552.4345,1008612417.6095,151
91,26,6,"MAT","her-47d3",38603369.7593,6297534798.047,163.134328358209
111,26,6,"MAT","her-47d3",26621521.0157,4499037051.6533,169
121,26,6,"MAT","her-47d3",11838107.8407,1839539018.3766,155.391304347826
91,26.5,6,"MAT","her-47d3",35394483.7276,6036472111.8652,170.548387096774
111,26.5,6,"MAT","her-47d3",39373518.4416,7267226546.6496,184.571428571429
121,26.5,6,"MAT","her-47d3",6771637.6014,1104744305.8284,163.142857142857
91,27,6,"MAT","her-47d3",59528841.8334,10511013165.9666,176.570093457944
111,27,6,"MAT","her-47d3",103806350.7075,18043521016.7865,173.819047619048
121,27,6,"MAT","her-47d3",18061565.82,3178384045.1745,175.975
91,27.5,6,"MAT","her-47d3",19020459.6582,3411578809.6026,179.363636363636
111,27.5,6,"MAT","her-47d3",72385465.012,14450206972.5384,199.628571428571
121,27.5,6,"MAT","her-47d3",33267579.457,6404009045.4725,192.5
91,28,6,"MAT","her-47d3",29305996.245,5983564636.83,204.175438596491
111,28,6,"MAT","her-47d3",126431705.8318,26211537667.9142,207.317757009346
121,28,6,"MAT","her-47d3",19341844.896,3898832384.9112,201.575
41,28.5,6,"MAT","her-47d3",128066.378,25869408.356,202
91,28.5,6,"MAT","her-47d3",19194224.9062,4113813412.4544,214.325581395349
111,28.5,6,"MAT","her-47d3",81796851.7695,18939217091.4555,231.539682539683
