strata,length,age,maturity,stock,number,biomass_g,meanW_g
31,20,1,IMM,her-47d3,53218044.8,3263217727,61.31788079
31,20.5,1,IMM,her-47d3,34308891.17,2315850154,67.5
31,21,1,IMM,her-47d3,7618203.448,543298193.3,71.31578947
31,21.5,1,IMM,her-47d3,1759727.77,131099718.9,74.5
31,22.5,1,IMM,her-47d3,1861067.322,184245664.9,99
31,17,2,IMM,her-47d3,1792320.538,62731218.81,35
31,18.5,2,IMM,her-47d3,5935396.832,289647365.4,48.8
31,19,2,IMM,her-47d3,3485919.57,191725576.4,55
31,19.5,2,IMM,her-47d3,7996301.047,418806267.3,52.375
31,20,2,IMM,her-47d3,14802370.08,866995961.7,58.57142857
31,20.5,2,IMM,her-47d3,389873.7633,29240532.25,75
31,21,2,IMM,her-47d3,8420119.6,639528131.5,75.95238095
31,21.5,2,IMM,her-47d3,21116733.24,1581995265,74.91666667
31,22,2,IMM,her-47d3,3592463.702,256861154.7,71.5
31,22.5,2,IMM,her-47d3,6513735.627,539244256.5,82.78571429
31,23,2,IMM,her-47d3,2013090.296,171917911.2,85.4
31,23.5,2,IMM,her-47d3,1246063.581,121698876.4,97.66666667
31,24,2,IMM,her-47d3,714335.3258,78934053.5,110.5
31,21.5,3,IMM,her-47d3,879863.885,68629383.03,78
31,22,3,IMM,her-47d3,449057.9627,34577463.13,77
31,22.5,3,IMM,her-47d3,930533.661,66998423.59,72
31,23.5,3,IMM,her-47d3,415354.5271,41535452.71,100
31,29.5,5,IMM,her-47d3,619562.2372,128868945.3,208
31,17,1,MAT,her-47d3,1792320.538,73485142.04,41
31,19.5,2,MAT,her-47d3,2665433.682,154595153.6,58
31,21.5,2,MAT,her-47d3,439931.9425,30795235.98,70
31,22.5,2,MAT,her-47d3,930533.661,80956428.51,87
31,23.5,2,MAT,her-47d3,415354.5271,46104352.51,111
31,25,2,MAT,her-47d3,261921.9017,34835612.93,133
31,21.5,3,MAT,her-47d3,439931.9425,25955984.61,59
31,22,3,MAT,her-47d3,2694347.776,233510140.6,86.66666667
31,23,3,MAT,her-47d3,402618.0591,32612062.79,81
31,23.5,3,MAT,her-47d3,415354.5271,49011834.2,118
31,24,3,MAT,her-47d3,357167.6629,46788963.84,131
31,21.5,4,MAT,her-47d3,439931.9425,28595576.26,65
41,22.5,3,-,her-3a22,292149.251,24540537.08,84
41,8.5,0,IMM,her-47d3,95153.9657,285461.8971,3
41,16.5,1,IMM,her-47d3,198372.8036,7339793.733,37
41,17.5,1,IMM,her-47d3,639936.1,27389265.08,42.8
41,18.5,1,IMM,her-47d3,837577.3712,39994319.47,47.75
41,19,1,IMM,her-47d3,393305.05,21730104.01,55.25
41,19.5,1,IMM,her-47d3,575972.2032,32830415.58,57
41,20,1,IMM,her-47d3,1814604.206,113466133.6,62.52941176
41,20.5,1,IMM,her-47d3,2746678.205,191789791.1,69.82608696
41,21,2,IMM,her-47d3,1752346.704,106893148.9,61
41,21.5,2,IMM,her-3a22,2437973.676,181764481.8,74.55555556
41,22,2,IMM,her-47d3,640680.5328,48051039.96,75
41,23.5,2,IMM,her-47d3,156259.6708,15000928.4,96
41,24,2,IMM,her-47d3,349442.6994,32847613.74,94
41,25.5,2,IMM,her-47d3,148296.1928,18981912.68,128
41,21,3,IMM,her-3a22,1314260.028,89369681.9,68
41,21.5,3,IMM,her-3a22,406328.946,26411381.49,65
41,22,3,IMM,her-3a22,800850.666,64868903.95,81
41,26,3,IMM,her-3a22,312395.468,49358483.94,158
